"slicenum","time","condition","censor","subnum","subgroup","run","cc200_LR_Thalamus","cc200_L_Thalamus","cc200_R_Thalamus","cc200_Thalamus"
77,NA,NA,1,"7307","proband","Pulse60",98.9184,99.3161,99.3859,98.9184
78,NA,NA,1,"7307","proband","Pulse60",98.9916,98.3411,99.3949,98.9916
79,NA,NA,1,"7307","proband","Pulse60",99.6702,99.4375,99.9195,99.6702
80,NA,NA,1,"7307","proband","Pulse60",99.3281,99.0284,99.4226,99.3281
81,NA,NA,1,"7307","proband","Pulse60",98.8991,98.4153,99.3682,98.8991
82,NA,NA,1,"7307","proband","Pulse60",99.2388,99.1418,99.8377,99.2388
83,NA,NA,1,"7307","proband","Pulse60",100.056,99.8889,99.9055,100.056
84,NA,NA,1,"7307","proband","Pulse60",100.369,100.896,99.8239,100.369
85,NA,NA,1,"7307","proband","Pulse60",100.26,100.88,99.6068,100.26
86,NA,NA,1,"7307","proband","Pulse60",99.8477,100.245,99.9386,99.8477
87,NA,NA,1,"7307","proband","Pulse60",99.7129,99.9522,99.6531,99.7129
88,NA,NA,1,"7307","proband","Pulse60",99.7203,99.6778,100.081,99.7203
89,NA,NA,1,"7307","proband","Pulse60",99.8527,99.6188,100.35,99.8527
90,NA,NA,1,"7307","proband","Pulse60",100.345,100.434,100.33,100.345
91,NA,NA,1,"7307","proband","Pulse60",100.363,100.824,100.398,100.363
92,NA,NA,1,"7307","proband","Pulse60",100.575,101.05,100.442,100.575
93,NA,NA,1,"7307","proband","Pulse60",100.286,100.564,100.275,100.286
94,NA,NA,1,"7307","proband","Pulse60",100.607,100.555,100.582,100.607
95,NA,NA,1,"7307","proband","Pulse60",100.347,100.25,100.634,100.347
96,NA,NA,1,"7307","proband","Pulse60",100.307,100.758,100.654,100.307
97,NA,NA,1,"7307","proband","Pulse60",100.448,100.659,100.393,100.448
98,NA,NA,1,"7307","proband","Pulse60",100.317,100.42,100.309,100.317
99,NA,NA,1,"7307","proband","Pulse60",99.5421,100.183,99.8942,99.5421
100,NA,NA,1,"7307","proband","Pulse60",99.1291,99.0194,99.65,99.1291
101,NA,NA,1,"7307","proband","Pulse60",99.284,99.5745,99.3897,99.284
102,NA,NA,1,"7307","proband","Pulse60",99.427,99.5602,99.3596,99.427
103,NA,NA,1,"7307","proband","Pulse60",100.571,101.122,100.292,100.571
104,NA,NA,1,"7307","proband","Pulse60",100.032,100.163,99.8287,100.032
105,NA,NA,1,"7307","proband","Pulse60",99.538,99.676,99.4455,99.538
106,NA,NA,1,"7307","proband","Pulse60",99.2237,99.2581,99.2551,99.2237
107,NA,NA,1,"7307","proband","Pulse60",99.4454,99.6198,99.4765,99.4454
108,NA,NA,1,"7307","proband","Pulse60",99.4464,99.696,99.4647,99.4464
109,NA,NA,1,"7307","proband","Pulse60",100.031,100.009,99.8576,100.031
110,NA,NA,1,"7307","proband","Pulse60",100.017,100.791,100.064,100.017
111,NA,NA,1,"7307","proband","Pulse60",100.321,100.635,100.061,100.321
112,NA,NA,1,"7307","proband","Pulse60",100.153,100.58,100.162,100.153
113,NA,NA,1,"7307","proband","Pulse60",99.8723,99.821,100.151,99.8723
114,NA,NA,1,"7307","proband","Pulse60",100.019,100.058,100.058,100.019
115,NA,NA,1,"7307","proband","Pulse60",99.8891,100.059,100.195,99.8891
116,NA,NA,1,"7307","proband","Pulse60",100.514,101.134,100.367,100.514
1,NA,NA,1,"7647","proband","Pulse60",99.9343,100.19,100.415,99.9343
2,NA,NA,1,"7647","proband","Pulse60",100.151,100.313,100.225,100.151
3,NA,NA,1,"7647","proband","Pulse60",100.047,100.045,99.9937,100.047
4,NA,NA,1,"7647","proband","Pulse60",100.961,101.685,100.459,100.961
5,NA,NA,1,"7647","proband","Pulse60",100.102,100.518,100.357,100.102
6,NA,NA,1,"7647","proband","Pulse60",100.103,100.545,100.229,100.103
7,NA,NA,1,"7647","proband","Pulse60",99.2307,99.0248,99.9665,99.2307
8,NA,NA,1,"7647","proband","Pulse60",100.326,100.145,100.247,100.326
9,NA,NA,1,"7647","proband","Pulse60",100.32,100.342,100.051,100.32
10,NA,NA,1,"7647","proband","Pulse60",100.382,100.757,100.173,100.382
11,NA,NA,1,"7647","proband","Pulse60",99.9948,100.065,99.806,99.9948
12,NA,NA,1,"7647","proband","Pulse60",100.522,100.304,100.666,100.522
13,NA,NA,1,"7647","proband","Pulse60",101.157,100.945,100.39,101.157
14,NA,NA,1,"7647","proband","Pulse60",100.395,100.577,100.394,100.395
15,NA,NA,1,"7647","proband","Pulse60",100.541,100.717,100.456,100.541
16,NA,NA,1,"7647","proband","Pulse60",100.369,100.56,100.576,100.369
17,NA,NA,1,"7647","proband","Pulse60",100.771,101.033,100.324,100.771
18,NA,NA,1,"7647","proband","Pulse60",100.316,100.627,100.118,100.316
19,NA,NA,1,"7647","proband","Pulse60",100.208,100.612,99.6916,100.208
20,NA,NA,1,"7647","proband","Pulse60",99.7519,99.7662,100.05,99.7519
21,NA,NA,1,"7647","proband","Pulse60",99.9641,99.5001,99.3797,99.9641
22,NA,NA,1,"7647","proband","Pulse60",99.6659,98.8761,100.088,99.6659
23,NA,NA,1,"7647","proband","Pulse60",100.647,100.538,100.451,100.647
24,NA,NA,1,"7647","proband","Pulse60",100.819,101.001,100.611,100.819
25,NA,NA,1,"7647","proband","Pulse60",100.808,100.527,100.63,100.808
26,NA,NA,1,"7647","proband","Pulse60",100.521,100.303,100.021,100.521
27,NA,NA,1,"7647","proband","Pulse60",100.278,99.929,100.114,100.278
28,NA,NA,1,"7647","proband","Pulse60",100.211,99.9848,99.9653,100.211
29,NA,NA,1,"7647","proband","Pulse60",99.9415,99.1682,99.799,99.9415
30,NA,NA,1,"7647","proband","Pulse60",99.6234,99.1026,99.5514,99.6234
31,NA,NA,1,"7647","proband","Pulse60",100.437,100.116,100.329,100.437
32,NA,NA,1,"7647","proband","Pulse60",100.662,100.921,100.202,100.662
33,NA,NA,1,"7647","proband","Pulse60",100.701,101.464,100.498,100.701
34,NA,NA,1,"7647","proband","Pulse60",100.262,100.758,100.22,100.262
35,NA,NA,1,"7647","proband","Pulse60",100.49,100.717,100.446,100.49
36,NA,NA,1,"7647","proband","Pulse60",99.8623,99.9411,100.585,99.8623
